seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight,ranking_top_3_accuracy,ranking_spearman_corr
34,10,2160,2160,14.846007533250033,-6.654940016836974e-07,13.279796318478054,0.1525263509764092,-0.0475208645156803,10.793563365229854,0.1294869141980888,100,0.02,6,0.7,0.8,0.5,1.0,10.0,1,0.0,0.0
33,10,2160,2160,6.844785713781084,0.9991556982862432,0.1343398071782778,0.0025208174621142,-0.4782222936218063,9.922102082614549,0.1218437426887781,700,0.3,6,0.9,0.8,0.0,1.0,0.0,2,0.0,-0.1999999999999999
38,10,2160,2160,6.7934250815599055,0.9355827001384726,1.310618552961042,0.0268726916049139,-0.2347153921532012,12.437231728544942,0.1542720423410858,700,0.3,6,0.7,0.6,0.5,1.0,0.0,3,0.3333333333333333,0.3818181818181818
27,10,2160,2160,11.630391309769063,0.9912857574756474,0.4735550228175026,0.0116832693235002,-0.2902522699417811,10.844195317316936,0.1299768100592748,350,0.05,10,0.7,0.6,0.0,1.0,0.0,3,0.6666666666666666,0.406060606060606
18,10,2160,2160,11.038324537542133,0.7955116445230564,2.45877727203111,0.0580320235354882,-0.0248444036591302,11.186059044191133,0.1407935997974433,350,0.1,10,0.9,0.6,0.5,2.0,0.0,2,0.3333333333333333,0.1398182750464148
36,10,2159,2160,8.89284841518381,-0.0001058995794864,8.566083846063512,0.1085500874842293,-0.5742885062727263,15.415075704786512,0.195240255329761,350,0.3,10,0.7,0.6,0.0,1.0,10.0,3,0.0,0.0
44,10,2160,2160,9.6870757596995,0.9879597578729032,0.8123424432993677,0.0135959026361396,0.292105242605379,9.249428582100403,0.116907847716358,350,0.02,10,0.9,0.6,0.0,2.0,0.0,1,0.3333333333333333,0.4303030303030302
57,10,2159,2160,12.610218386667706,0.1759658304555742,11.578978240793642,0.133699872042635,-0.0138782278773348,9.530045419445743,0.1167014325829561,350,0.3,6,0.9,0.6,0.0,0.5,10.0,2,0.0,0.1740776559556978
54,10,2160,2160,9.935102409168524,0.7543711682898542,3.3364792316310385,0.0683363183354933,-0.7047707281268596,9.834979909139651,0.1216877673604876,100,0.1,10,0.9,0.6,0.5,2.0,0.0,2,0.6666666666666666,0.5393939393939393
52,10,2160,2160,15.067974876474452,0.1072592442024382,12.717288224962022,0.1502777336244906,-0.0508339546394802,13.886196188396877,0.1579221699277753,350,0.1,6,0.7,0.6,0.5,1.0,10.0,2,0.3333333333333333,0.5881992022553729
