seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
76,316,68228,2160,0.0646506926160939,0.8136053269684655,0.0270830113395843,0.0520900724312502,0.2716468614702891,0.1070459230107389,0.1461114586034547,350,0.02,6,0.9,0.8,0.5,2.0,0.0,1
51,316,68228,2160,0.0660416154681884,0.832398228246631,0.0250618792835112,0.0505768362010451,-0.2920907474769372,0.0905255693241162,0.1277858378024285,100,0.1,6,0.7,0.8,0.5,2.0,0.0,1
43,316,68228,2160,0.0645820104412675,0.8947631200264323,0.016071514711659,0.0401846760644028,0.409246289427018,0.0500682330439479,0.0734922400238868,700,0.05,6,0.9,0.8,0.5,1.0,0.0,1
92,316,68228,2160,0.0666734743828302,0.8065949436237034,0.0286982091593991,0.0545836568324809,0.6380039154984494,0.0320066720983549,0.0465434066645218,350,0.02,6,0.7,0.8,0.5,2.0,0.0,3
84,316,68228,2160,0.0646686996891225,0.8530802614647008,0.0219562921837678,0.0472386970561487,0.4636436098419937,0.0615228862276741,0.0893198755457099,700,0.02,6,0.9,0.8,0.5,0.5,0.0,2
50,316,68228,2160,0.0656901474953391,0.8561669092101967,0.0216766208079353,0.0468689862185809,0.5582101561998316,0.0462400512513233,0.0737273028295955,700,0.02,6,0.9,0.8,0.5,1.0,0.0,1
82,316,68228,2160,0.0658739666418574,0.8073004613861786,0.0283119276597458,0.0539054842981922,0.5840929303030609,0.0509357105788205,0.0872006559618631,350,0.02,6,0.7,0.8,0.0,1.0,0.0,2
83,316,68228,2160,0.0653990231709838,0.928225995618162,0.0111972324774066,0.0331135075460416,0.2063523599302343,0.051894166586356,0.0942152753098463,350,0.05,10,0.9,0.8,0.5,0.5,0.0,3
58,316,68228,2160,0.0659334694156491,0.9282639196176417,0.0110638349469777,0.0325938103159295,0.4714127873433072,0.0753144610887211,0.1172656746339051,350,0.05,10,0.9,0.8,0.5,1.0,0.0,1
78,316,68228,2160,0.0664364390987416,0.881783468361538,0.0172996215868434,0.0422488304486447,0.4849786517519393,0.0708222053723111,0.0933791653633121,100,0.05,10,0.9,0.8,0.5,1.0,0.0,2
89,316,68228,2160,0.0636315523305634,0.8942536851640585,0.0151359433054805,0.03962201216151,0.4334600792902281,0.0801461022018355,0.1099799130259256,350,0.02,10,0.7,0.8,0.5,1.0,0.0,2
65,316,68228,2160,0.0632488513739181,0.8955367008648359,0.0159650124983597,0.0397467079721195,0.1374351975562309,0.081301213371973,0.1204368033739275,700,0.05,6,0.9,0.8,0.5,1.0,0.0,1
99,316,68229,2159,0.0640922634635656,0.9065867857813044,0.0144576048290638,0.0375379868810874,0.4494014716235666,0.0661665737983192,0.0986123772175906,700,0.1,6,0.9,0.8,0.5,0.5,0.0,3
52,316,68228,2160,0.0655048913909608,0.8556667148864736,0.0218759179782666,0.0472241947715903,0.1932380168564321,0.0528944199034017,0.0709913964481176,700,0.02,6,0.7,0.8,0.5,0.5,0.0,3
79,316,68233,2155,0.0672323244782365,0.8674455524801764,0.0199236485266865,0.0449469351037759,0.4106994906029234,0.0623604340548625,0.0885248687756035,350,0.05,6,0.9,0.8,0.5,1.0,0.0,1
34,316,68229,2159,0.0645987888584011,0.9217628311335088,0.0119638937308859,0.0343620020370082,0.047134878309276,0.0891510145382248,0.1225769878368619,350,0.05,10,0.7,0.8,0.5,0.5,0.0,2
77,316,68240,2148,0.0662513043474148,0.8957214088861177,0.0151245511553689,0.039783261741432,0.101250684320732,0.0827509036747137,0.1173279409963228,350,0.02,10,0.9,0.8,0.5,2.0,0.0,3
97,316,68228,2160,0.0647561871923802,0.8063434913585984,0.0283816660068168,0.0542434499874984,0.5714743925423746,0.057862365949103,0.0792502269126426,350,0.02,6,0.9,0.8,0.5,0.5,0.0,3
93,316,68228,2160,0.0640672994809187,0.8183362200642817,0.0273475463411325,0.0529197699887425,-0.4845169298698599,0.067321857946316,0.1024129249780424,350,0.02,6,0.7,0.8,0.0,1.0,0.0,3
90,316,68228,2160,0.0648097954249723,0.8903673184368994,0.016705505197973,0.0407622986825707,0.3870844672720782,0.0651249769324453,0.0990395166039464,700,0.05,6,0.7,0.8,0.5,0.5,0.0,3
80,316,68228,2160,0.0654629073784874,0.9243989606315792,0.0115677913095769,0.0342216334951438,-0.3632357196969749,0.062878844137435,0.0847728801542499,700,0.02,10,0.9,0.8,0.5,0.5,0.0,3
41,316,68228,2160,0.0629128148890774,0.8079950380100429,0.0275328014650643,0.053693392277293,0.3465650063720545,0.0902225232766179,0.111662363428574,350,0.02,6,0.7,0.8,0.5,2.0,0.0,1
59,316,68228,2160,0.066437989240958,0.8534947652660061,0.022024171380494,0.0473094720736214,0.5689730744868813,0.0442907162930715,0.0692632603046702,700,0.02,6,0.9,0.8,0.5,0.5,0.0,1
56,316,68228,2160,0.0660025366115108,0.8913666740427924,0.0158479667600957,0.0407634573890273,0.1269859815287071,0.0716816582038258,0.0998019501842347,350,0.02,10,0.7,0.8,0.5,2.0,0.0,1
74,316,68228,2160,0.0654082970600046,0.9224602065573052,0.0123936344310604,0.0342587928286502,-0.1538913060660862,0.0935817894329707,0.1383319064691845,350,0.02,10,0.9,0.8,0.0,1.0,0.0,2
38,316,68228,2160,0.0660385055007469,0.8893066073020787,0.0168395836805003,0.0410195616759441,0.3182374604552781,0.0690529880782345,0.0981963266552827,700,0.05,6,0.7,0.8,0.5,0.5,0.0,3
55,316,68228,2160,0.0662731250982526,0.8654080742697832,0.0202809575385374,0.0453652516261324,0.464672044625676,0.0507972571011167,0.0791725262836938,350,0.05,6,0.7,0.8,0.5,2.0,0.0,2
49,316,68228,2160,0.0648049092898295,0.9436287435682832,0.009810704390702,0.0290674666954534,0.3597621593985539,0.0848430363767561,0.1152331658832071,700,0.1,10,0.7,0.8,0.5,2.0,0.0,2
66,316,68228,2160,0.063978390533807,0.8078113259111128,0.0280929871244445,0.0537997687783432,0.4993256051496543,0.0653400301293936,0.0968778722733691,350,0.02,6,0.7,0.8,0.5,2.0,0.0,2
69,316,68228,2160,0.0668217704593174,0.8892893842823819,0.017318612634039,0.0412748982237219,0.5993105173700785,0.045246258198876,0.0587399059478243,350,0.1,6,0.7,0.8,0.5,0.5,0.0,1
67,316,68228,2160,0.0661859022616325,0.9232436129316623,0.0116373022396142,0.034170404334582,0.5096502711760061,0.0514238422906548,0.0820353753596138,700,0.02,10,0.9,0.8,0.5,0.5,0.0,2
