seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
4,198,42759,2160,0.0863651557602553,0.837775390501363,0.0266451351794611,0.0541188447979259,0.450582662148704,0.0814277522978287,0.106586729193681,350,0.05,6,0.7,0.8,0.5,0.5,0,1
44,198,42759,2160,0.0915104623141946,0.945497483186651,0.0123817056017738,0.0316795361265726,0.281561918034078,0.0782010093261267,0.104660549158675,700,0.02,10,0.7,0.8,0,0.5,0,3
46,198,42762,2157,0.0878248782085654,0.828480818555494,0.0284604869745934,0.0564184828677471,0.304022390070441,0.0747835812328083,0.0909008631881794,700,0.02,6,0.7,0.8,0.5,2,0,2
13,198,42759,2160,0.0852974399774167,0.755047403900348,0.0405647929172571,0.0675385316130001,-0.251573167999268,0.0821457131344651,0.11341580883647,100,0.05,6,0.9,0.8,0.5,1,0,2
59,198,42759,2160,0.0856474244975263,0.844204871712226,0.0264276832497433,0.0528532590306712,0.162697839329908,0.10470498650996,0.140851498650393,700,0.02,6,0.9,0.8,0.5,0.5,0,1
27,198,42759,2160,0.090737219067145,0.828941697717686,0.0287173936133385,0.0564864232822678,0.61741656401854,0.0438272945935599,0.0593156347907308,700,0.02,6,0.9,0.8,0.5,0.5,0,1
40,198,42759,2160,0.0888201509001625,0.777989745490585,0.0369560972011191,0.0645536432679438,0.327169899009038,0.0555815054117436,0.0653221565966196,350,0.02,6,0.7,0.8,0.5,0.5,0,1
16,198,42759,2160,0.0895580597728438,0.833811598341223,0.0272942850077097,0.0539784636983597,0.217218331866153,0.107631662662518,0.137197688605083,700,0.02,6,0.7,0.8,0,2,0,2
53,198,42759,2160,0.0888946257891898,0.779561888722003,0.0357426925435122,0.0628651573680956,0.343617334929609,0.0928567486688082,0.115850938416676,350,0.02,6,0.9,0.8,0,2,0,2
84,198,42759,2160,0.0887725169742069,0.903812337719364,0.0171599979164604,0.0418379024277109,0.481050155057578,0.0750256152918307,0.100867233794347,700,0.02,10,0.7,0.8,0.5,1,0,3
68,198,42759,2160,0.0868137230283769,0.868001628129087,0.0218902277166143,0.048503218062667,0.292064406940802,0.0983169932212763,0.124201396845857,700,0.05,6,0.9,0.8,0.5,0.5,0,1
19,198,42759,2160,0.087033277494057,0.879350446398493,0.0215207660477367,0.0464641062541134,0.287746069624052,0.106408384491412,0.134387103547904,700,0.05,6,0.7,0.8,0.5,2,0,2
36,198,42759,2160,0.0893329949795758,0.786397207014282,0.0350218048147077,0.0620846812181844,0.169515518104736,0.113847064356434,0.137028935003671,350,0.02,6,0.9,0.8,0.5,2,0,3
92,198,42759,2160,0.0892505760826895,0.776226846134549,0.0373467517480476,0.0648025368869517,0.24583957411654,0.0510269868364482,0.0664754561388925,350,0.02,6,0.7,0.8,0.5,2,0,3
2,198,42759,2160,0.087429869136763,0.838817413102623,0.0272706892750759,0.0538314477025363,0.430525998043737,0.0911968018860787,0.116583005703999,700,0.02,6,0.7,0.8,0,2,0,3
37,198,42759,2160,0.087444801043113,0.783416830131587,0.0358694509996894,0.0632759740878773,0.195853611291838,0.0832328837301375,0.104932642445685,350,0.02,6,0.7,0.8,0,2,0,1
6,198,42759,2160,0.0865830747096859,0.843184171294802,0.027103576314979,0.053561605762205,0.23678696067467,0.0890226523504301,0.115779204427997,700,0.02,6,0.9,0.8,0,0.5,0,3
70,198,42759,2160,0.0894856128290223,0.863392678520083,0.0242191477333493,0.0499028902127387,0.218868334924003,0.0908299430049392,0.121681603865882,350,0.05,6,0.9,0.8,0,1,0,1
99,198,42759,2160,0.0863528014927808,0.872829665299336,0.0219486454889313,0.0482932173361061,0.128548918831897,0.0894014277797524,0.115609545384783,350,0.1,6,0.9,0.8,0.5,2,0,2
83,198,42760,2159,0.0863040024229943,0.893862321339823,0.0191122168734618,0.0439061114789584,0.346166885712289,0.084681274227225,0.114984868198218,700,0.1,6,0.9,0.8,0.5,1,0,2
48,198,42759,2160,0.0916763347162475,0.786286513643893,0.0365381026353952,0.0627306628772682,0.0779642107245095,0.0757303462097536,0.114600220928254,350,0.02,6,0.9,0.6,0,1,0,2
89,198,42759,2160,0.0874814560281561,0.839418321933805,0.0273955836348971,0.0539371222932187,0.364434782919188,0.0827177329141839,0.115345733278901,700,0.02,6,0.7,0.8,0.5,0.5,0,1
22,198,42759,2160,0.0868370358889503,0.744008033439388,0.0418631158764105,0.069139930701117,0.479500854439002,0.0516359808767645,0.0682707174628287,100,0.05,6,0.9,0.8,0.5,0.5,0,2
1,198,42759,2160,0.0889493383802253,0.785243632963974,0.0356445073514993,0.0621916331867942,0.464645488226257,0.0854712721944382,0.111728890958657,350,0.02,6,0.7,0.8,0,0.5,0,1
61,198,42759,2160,0.0894412379115585,0.829206065418613,0.0284052702100195,0.0560732885919832,0.169136383189543,0.0889745226935194,0.111563535805311,700,0.02,6,0.7,0.8,0.5,0.5,0,3
93,198,42760,2159,0.089011425312277,0.792376975235331,0.0347936975279265,0.0611281557563207,0.440873922089234,0.0857140726584533,0.114784278068539,350,0.02,6,0.7,0.8,0,1,0,3
60,198,42759,2160,0.0862596279082087,0.861761120750244,0.0234010665369739,0.0502376405058522,0.468532643344751,0.0757385739071789,0.0990091630806134,700,0.05,6,0.7,0.8,0.5,1,0,3
97,198,42759,2160,0.0862908380938262,0.827351342316094,0.0282773869896589,0.0556097167065898,0.267018587155846,0.11328713146148,0.13447165631107,700,0.02,6,0.7,0.8,0.5,1,0,2
42,198,42759,2160,0.0887609156431519,0.844139350511354,0.02626086552112,0.0539550024688651,0.125653483083715,0.0616174594320892,0.0790537371265707,350,0.05,6,0.9,0.8,0.5,1,0,1
45,198,42759,2160,0.0880714402945605,0.759391466627139,0.0387723693238097,0.064780635329177,0.252096966150013,0.129694385439492,0.155988692813543,100,0.05,6,0.9,0.8,0,0.5,0,1
90,198,42759,2160,0.0894699671941277,0.903680373793899,0.0167780114860231,0.0420846417144218,0.250297280906426,0.0865693410171863,0.106934346402346,700,0.02,10,0.9,0.8,0.5,2,0,3
96,198,42759,2160,0.0864685063239026,0.836357136608238,0.0277391012056696,0.0546835131886006,0.108542362909614,0.0977699410212071,0.126932418900197,700,0.02,6,0.7,0.8,0,2,0,3
91,198,42760,2159,0.0840998035838484,0.877202550317439,0.0215116851958996,0.0466287071386747,0.30756519192783,0.105237807901962,0.140342452633351,700,0.05,6,0.7,0.8,0.5,2,0,2
95,198,42759,2160,0.0893323809616093,0.839704052041962,0.0279375478826618,0.0546129375791631,0.007242043851028,0.0734279877184754,0.0963050054285047,700,0.02,6,0.7,0.8,0,0.5,0,1
5,5,1080,2160,0.056666148330257,0.963667948623928,0.011199841149697,0.0168295816731607,0.0343885905709244,0.0774189878880425,0.117141156029415,100,0.05,6,0.9,0.8,0.5,2,0,3
11,5,1080,2160,0.0875219927186899,0.932083806190496,0.0153424026540127,0.0291609309363928,-0.230867903507616,0.120578449236714,0.141727976606325,350,0.02,6,0.9,0.6,0.5,0.5,0,1
31,5,1080,2160,0.0571021651989034,0.974060838375599,0.0080636404332018,0.0128238229871778,-0.129748060763297,0.120479339062943,0.183505613553449,100,0.1,6,0.7,0.6,0.5,0.5,0,3
3,5,1080,2160,0.119301392939997,0.905274773971751,0.0304164847720948,0.0429310812474362,-0.448701413619685,0.102773067113015,0.126216316701412,100,0.02,10,0.7,0.6,0,2,0,1
2,5,1080,2160,0.0634786630570189,0.982770127749173,0.00932270706170022,0.0133985124024515,-0.166401166685113,0.142712048678953,0.166848485770988,700,0.05,10,0.9,0.6,0.5,1,0,3
10,5,1080,2160,0.105754629384616,-2.13403072990559E-09,0.0983937001513631,0.124515015833082,-0.270762826925139,0.146096659997413,0.177735166797134,700,0.3,6,0.9,0.8,0,2,10,3
35,5,1080,2160,0.07256361674022,-4.97953951916763E-06,0.0633720810271091,0.0862005392332432,-0.00379891867765547,0.0877417322055162,0.120096699725432,350,0.3,6,0.9,0.8,0.5,0.5,10,3
21,5,1080,2160,0.0767820519287713,0.999090984657926,0.00140503032945323,0.00306717294725146,-0.514399004523381,0.128752933229041,0.156604105407301,350,0.02,10,0.7,0.8,0,1,0,1
41,5,1080,2160,0.0940173284761978,-1.10851666397238E-05,0.079230675912232,0.0973396447791227,-0.178689975395394,0.106734390826595,0.14549458072999,350,0.3,6,0.7,0.6,0,2,10,2
51,5,1080,2160,0.034678369205738,0.877431375192795,0.0109441766740718,0.0178848472226149,-0.402046288406749,0.120739257505199,0.162174872877481,100,0.1,6,0.9,0.6,0.5,1,0,2
19,5,1080,2160,0.0460532519801247,0.956984593438383,0.0100903654884125,0.016391186900672,-0.111998986309547,0.117338326814563,0.167916109007674,350,0.3,6,0.7,0.8,0.5,0.5,0,2
25,5,1080,2160,0.0718544448885478,0.999753506484788,0.000886505827578202,0.00157223718692964,-0.592611641393173,0.123476863289041,0.13614578691944,700,0.3,10,0.9,0.6,0,2,0,2
32,5,1080,2160,0.0769071519287803,-2.22906043718663E-05,0.0714521674623914,0.0906637443798595,-0.0310722377963555,0.11620963884915,0.150489510849286,100,0.1,6,0.7,0.8,0,0.5,10,2
30,5,1080,2160,0.155629338966207,0.100965733178033,0.125487442369333,0.139733043121929,-0.830438396202845,0.122656356868891,0.136917937124487,700,0.05,10,0.9,0.8,0.5,0.5,10,2
