model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,206,0.2442082766594284,2.615851452178839,13.442958837939972,BEA,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Na2WO4/SiO2,0.8629047409072519,2.2959016008840667,1.6730425898620378,3.17500274370114,3.122852314826515,2.745772168443158,3.356665564008333,3.226566669852645,3.1384653346957982,2.561340794607445
xgboost_old_script,base+atom_numbers+support,no,10,0,10,206,0.2377614783260757,2.5907049617285804,13.557625408048343,BEA,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Na2WO4/SiO2,0.8555971070682561,1.7394346596507562,1.792253146464074,3.717142095503708,2.3299065647191477,2.8115207650208918,3.477807348577513,3.2588466772754434,3.582013702897562,2.342527550108455
xgboost_old_script,base+descriptors,yes,10,0,10,206,0.1566551590201323,2.704956704777493,15.000230398623644,BEA,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Na2WO4/SiO2,0.74697689809526,1.716682737985695,1.3027514101758046,4.165502516930854,2.9269263238266663,2.7745617644875136,3.416608947507209,3.200888899953829,3.5452784087260563,3.2533891400860417
xgboost_old_script,base+descriptors,no,10,0,10,206,0.008091027160085,2.9523492812294925,17.64267996205841,BEA,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Na2WO4/SiO2,0.7203637172378323,1.4857205082586518,1.829966068731414,4.280398524784379,2.680994449555874,2.981864880036425,3.555886797993271,3.287576583204446,3.831188449045575,4.869532833447059
xgboost_old_script,all,yes,10,0,10,206,0.165817037062241,2.7007463450898865,14.8372718141423,BEA,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Na2WO4/SiO2,0.7425569480850741,1.685621209724082,1.5256117964322091,4.006003041474356,3.0127629933947766,2.8350239234941976,3.4455316694467157,3.204389484226704,3.5783225885999426,2.971639796020808
xgboost_old_script,all,no,10,0,10,206,0.031327068997192,2.926907949406309,17.2293899718052,BEA,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Na2WO4/SiO2,0.6864777130316253,1.494004331821645,1.8329952385635289,4.248882687127701,2.76647220665658,2.9583339055655182,3.513251301050186,3.2725006829864447,3.853751544853052,4.642409882406808
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,207,0.2640522413873007,1.8194895796358357,6.457824586146447,Al2O3,BEA,MgO,Mn-K2WO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,1.477525439672172,1.1833577621990332,0.7429945908971476,2.003577348623011,2.484377345122673,3.455875668845795,1.881105087907226,2.3798097026900007,1.1412010256643923,1.3320237324083293
xgboost_old_script,base+atom_numbers+support,no,10,0,10,207,0.2006417955808346,1.8913473769932596,7.014241167561711,Al2O3,BEA,MgO,Mn-K2WO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,1.5162430274210594,1.1733439853621854,0.8264773824590224,1.951292971416756,2.5113541181551087,3.487781299010471,2.270407707006843,2.1798626031919763,1.6918513367176056,1.271609999145623
xgboost_old_script,base+descriptors,yes,10,0,10,207,0.1740378834532023,1.9029182529847248,7.2476862671831315,Al2O3,BEA,MgO,Mn-K2WO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,1.511448111904578,1.1981162243474412,0.8302286571291861,2.115346405649627,2.1137624043447,3.806895874909781,1.5342118795823168,2.341891668483063,2.3816531206982003,1.2754173274172675
xgboost_old_script,base+descriptors,no,10,0,10,207,0.1281084198574791,1.9281533123298484,7.650710008699914,Al2O3,BEA,MgO,Mn-K2WO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,1.472606373664371,1.151805985500967,0.9017002615436084,1.8906796660688188,2.225698647885411,3.818901278961588,2.229948305851884,2.1500017403342104,1.965136860988,1.4812179272759844
xgboost_old_script,all,yes,10,0,10,207,0.1934354250059192,1.8558288028799943,7.0774759237396445,Al2O3,BEA,MgO,Mn-K2WO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,1.4336162962999055,1.1020734429614687,0.6856847566159234,2.1986639378578574,2.291216590801875,3.787462653296965,1.5919021775656277,2.4212799481440475,1.767006298667234,1.2645781758869137
xgboost_old_script,all,no,10,0,10,207,0.1608627771667222,1.881203810518284,7.363295730363384,Al2O3,BEA,MgO,Mn-K2WO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,1.4976740581024852,1.204178438939292,0.8153967638282725,1.96687322612162,2.31708757194104,3.781407174181055,2.193148145410749,2.1454168252702117,1.659285189239463,1.194584275268846
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,208,0.355248041703619,2.112984737246918,8.397552491618603,CeO2,Hf-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,Pd-Na2WO4/SiO2,TiO2,2.805914968688179,2.445896565338114,1.6359024180968602,2.609338954587777,2.617778585961571,0.909512143002616,1.7271622591493307,2.654133730462442,2.5382895097881555,1.1859182373941357
xgboost_old_script,base+atom_numbers+support,no,10,0,10,208,0.3440164480291792,2.0969361776465343,8.543838045670823,CeO2,Hf-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,Pd-Na2WO4/SiO2,TiO2,2.7586844050829056,1.6429446474835276,1.4453652861824742,2.576447506789808,3.65805762288747,1.5892626793627385,1.6808048045800792,1.7264997394562318,2.7216257325490867,1.169669352091021
xgboost_old_script,base+descriptors,yes,10,0,10,208,0.5218155332636127,1.7118515671214296,6.228099206872936,CeO2,Hf-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,Pd-Na2WO4/SiO2,TiO2,1.062143020298746,1.79923248346757,1.3503449857455712,2.575409274542773,2.914993139361894,0.7433081843841959,1.047057569137326,1.8641791600375264,2.5935692348165644,1.1682786194221289
xgboost_old_script,base+descriptors,no,10,0,10,208,0.4433370892379998,1.8559951252350928,7.2502393410525565,CeO2,Hf-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,Pd-Na2WO4/SiO2,TiO2,1.1035374023516973,2.079080597272626,1.430788352213524,2.7211285829875207,2.930209272073375,0.6585810586865302,1.0072762677294238,2.1015988002000032,2.7369753973875883,1.790775521448641
xgboost_old_script,all,yes,10,0,10,208,0.4800781113727725,1.8107378684620767,6.771707003147432,CeO2,Hf-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,Pd-Na2WO4/SiO2,TiO2,2.174659586648146,1.7440886722063578,1.3742770176794794,2.5861455194044995,2.875798573041404,0.6983260287454834,1.1300328360222005,1.8433856785435367,2.637918254271564,1.0427465180580986
xgboost_old_script,all,no,10,0,10,208,0.4201629269400406,1.9422743078264653,7.552070521000589,CeO2,Hf-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,Pd-Na2WO4/SiO2,TiO2,2.0151317034275444,1.866924940896807,1.506615930343116,2.6942914853272613,3.205352509463275,1.3027119307275172,1.0217096372114287,1.9292117311088024,2.7205473221755687,1.1602458875833286
