seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight,ranking_top_3_accuracy,ranking_spearman_corr
92,30,6480,2160,11.532137312274312,0.9084412452378184,2.132934025001287,0.0431819136686167,-0.6572640155668816,9.56709547435796,0.123126982654127,100,0.3,6,0.7,0.8,0.5,0.5,0.0,3,0.3333333333333333,-0.0303030303030303
60,30,6480,2160,9.922869778247897,0.918575273985016,1.56219251117784,0.0376692928672196,-0.7933279663633979,12.731939057884397,0.1481428215635317,350,0.3,10,0.7,0.6,0.5,1.0,0.0,3,0.3333333333333333,0.6969696969696969
96,30,6479,2160,10.611581590914506,0.9699253425403508,1.0558036563388438,0.0222977068766327,-0.7409108656945089,15.826593364300551,0.1746103337031477,100,0.05,10,0.9,0.6,0.0,0.5,0.0,1,0.6666666666666666,0.146344183996585
97,30,6480,2160,10.41629081041765,0.8637456073796137,2.240122600871449,0.050858118197997,-0.3042913999201637,13.40049293855826,0.1633572933187769,350,0.3,6,0.7,0.6,0.5,1.0,0.0,3,0.6666666666666666,0.3696969696969697
95,30,6480,2160,12.073555125938151,0.8258688380718963,3.2239134531093683,0.060980689136255,-0.4211858163302422,19.377373885722072,0.2146532875059227,350,0.05,6,0.9,0.6,0.0,2.0,0.0,3,0.3333333333333333,-0.1272727272727272
8,20,4320,2160,9.580905604804004,-7.367789214285381e-07,9.331384181181589,0.1116482539347755,-0.9850482807562768,18.948915012500905,0.2127968134087932,100,0.02,6,0.7,0.6,0.0,2.0,10.0,2,0.0,0.0
15,20,4319,2160,7.606083601165148,0.7347268388971473,3.4443006679177643,0.0487963811423799,-2.178518631220307,20.027588214785965,0.2176323278228508,100,0.02,6,0.7,0.6,0.0,0.5,0.0,3,0.0,-0.5878787878787878
0,20,4319,2160,9.376055241773589,0.9992147034691566,0.1482090284341634,0.0032130911583736,-1.3959933378309637,20.19453018077132,0.2194931859584375,350,0.05,10,0.9,0.8,0.0,0.5,0.0,3,0.6666666666666666,0.4424242424242424
3,20,4320,2160,12.23098338868883,0.0511135573100263,10.965915733266762,0.1326229993923074,-0.5005492450226647,14.475368946569937,0.1668054098505788,350,0.02,6,0.7,0.8,0.5,2.0,10.0,3,0.0,-0.3243745600673012
11,20,4320,2160,11.922788983274389,-2.7369983863767544e-06,11.717265160525288,0.1370099983329749,-0.1567001935453329,14.29436303951122,0.1672711131793784,100,0.02,6,0.7,0.8,0.5,2.0,10.0,2,0.0,0.0
2,20,4320,2160,7.301225618162642,0.9125818492175086,1.290262114724524,0.0342571390837118,-0.7324441856446366,15.41068154083358,0.1767669083578454,700,0.05,10,0.9,0.6,0.5,2.0,0.0,1,0.3333333333333333,0.4424242424242424
9,20,4320,2160,12.012416446473864,-9.270424394802744e-07,11.999153096057752,0.1427089369142487,-0.9121217865578723,13.857472120214393,0.1607830781006943,700,0.05,6,0.7,0.6,0.5,2.0,10.0,3,0.0,0.0
16,20,4320,2160,10.214109591554712,-3.5767959993826537e-06,10.049922972078676,0.1208306388297399,-0.3350945253375736,14.57051559448242,0.1732137089259524,350,0.05,10,0.7,0.8,0.5,2.0,10.0,1,0.0,0.0
4,20,4320,2160,8.487066436211268,0.8044181390090575,2.3887462539050763,0.0530890832311442,-0.596886868005625,15.639491642360335,0.1776708259317174,350,0.02,10,0.7,0.8,0.5,2.0,0.0,2,0.0,-0.2121212121212121
5,20,4320,2160,12.842932807957684,0.0113927528965969,12.539458224508495,0.147441543883858,-0.3091384088527991,14.139245249430338,0.163381695136669,100,0.02,6,0.7,0.6,0.5,2.0,10.0,1,0.6666666666666666,0.5838742081211422
13,20,4319,2160,11.381941296064252,0.9998698175569308,0.1030356051546045,0.0015327405180944,-0.1050288283981504,9.94803563355296,0.1238960098325116,350,0.3,10,0.9,0.6,0.0,1.0,0.0,1,0.3333333333333333,0.1757575757575757
1,20,4320,2160,7.513512744313038,0.9549012394271154,1.0561956104272288,0.0281880198699794,-0.1853644792428936,14.01527290980021,0.1638689642651795,350,0.05,6,0.9,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.0424242424242424
18,20,4320,2160,10.1292324829174,0.9645640897760022,0.7727918490197637,0.0244022359676985,-0.9269634724006612,19.695142069806657,0.2196806033633116,350,0.05,10,0.7,0.8,0.0,0.5,0.0,3,0.6666666666666666,0.2121212121212121
28,20,4320,2160,9.81939932346344,0.7101278071365018,4.514707956777679,0.0625756082244858,-0.3350710305416235,15.111325851546392,0.1719563324124456,100,0.02,6,0.7,0.6,0.5,2.0,0.0,1,0.6666666666666666,0.103030303030303
25,20,4319,2160,11.979635508919545,0.0318933845435581,11.240020064088752,0.1353447081969476,-0.5623599588988624,17.415525658572165,0.2016612206582311,350,0.1,6,0.7,0.6,0.5,0.5,10.0,2,0.3333333333333333,-0.3481553119113957
57,20,4320,2160,10.408643358725088,0.0866840131213525,9.895452638996971,0.1187272421456334,-1.2060570898100793,18.49458278302793,0.2081752545443422,350,0.3,6,0.9,0.6,0.0,0.5,10.0,2,0.0,0.0
7,20,4320,2160,11.40860346230644,0.8441079552122505,2.7577062614940764,0.0551885567736695,-1.09333791059752,15.061173513371632,0.1725153219827735,350,0.02,6,0.7,0.6,0.5,0.5,0.0,1,0.0,0.0666666666666666
43,20,4320,2160,11.505157040189264,0.9997378948987986,0.1254412596099825,0.0022308376428574,-0.6805090461575756,12.771386440361548,0.1458276613469521,700,0.3,10,0.9,0.6,0.0,0.5,0.0,3,0.3333333333333333,-0.1337392196096141
32,20,4320,2160,13.076979527296842,0.2336762559891325,10.97555853402173,0.1335445510982507,-0.7238223851045438,18.48207571806731,0.2030607763043374,350,0.3,6,0.9,0.6,0.0,1.0,10.0,3,0.0,-0.6595217486584658
20,20,4320,2160,9.79625324277966,0.9621005792607082,1.1170044486670587,0.0236293234948672,-0.775165426748788,15.836962688940542,0.1760323413168628,100,0.05,10,0.9,0.6,0.0,2.0,0.0,3,0.6666666666666666,0.6242424242424242
35,20,4320,2160,10.538456437212451,0.964047085726094,1.1980165991673886,0.026988952541399,-0.8178166980041444,11.361488591951352,0.136586213854032,350,0.3,10,0.7,0.6,0.5,1.0,0.0,3,0.0,-0.1878787878787878
21,20,4320,2160,13.53458451182754,0.0917045164088778,12.2573589875963,0.1429825559415512,-0.2395239419542887,16.33266738467746,0.183853432208242,350,0.1,6,0.7,0.6,0.0,1.0,10.0,1,0.3333333333333333,0.0379868588198793
17,20,4320,2160,9.364321755739274,0.9541806461389494,1.2914884559045052,0.0248742329835746,-0.3738151933810936,11.209381702696836,0.1299488035849537,700,0.02,6,0.7,0.6,0.0,1.0,0.0,3,0.3333333333333333,0.0303030303030303
14,20,4319,2160,8.017730767755749,0.9838954860417092,0.6112228837917981,0.0154652685726851,-0.9554545519761646,13.453122931266272,0.1529929962104259,350,0.02,10,0.7,0.8,0.0,1.0,0.0,3,0.6666666666666666,0.4424242424242424
31,20,4320,2160,10.542386812427322,0.9251226163720928,1.6420490095892888,0.0365327838169674,-0.8683763301334437,14.450247731306249,0.1626505418600353,100,0.3,6,0.9,0.6,0.0,0.5,0.0,3,0.3333333333333333,0.5636363636363636
24,20,4320,2160,11.447595375224395,0.8492964588440495,3.028599231237033,0.0563472264902967,-0.282057665858809,15.753428435899597,0.1786892908205151,100,0.1,10,0.9,0.6,0.5,1.0,0.0,2,0.3333333333333333,0.5272727272727272
6,20,4320,2160,10.416157974313808,-7.1314049914228406e-06,9.949255669205275,0.1195192718317608,-1.2466097929701825,17.322972464384854,0.1999549655682611,700,0.05,6,0.7,0.8,0.5,1.0,10.0,1,0.0,0.0
12,20,4320,2160,12.201505564407066,0.0488231701951393,11.66729534926238,0.1403469246601148,-0.8911736959567083,13.063356254365708,0.1553871619798339,350,0.05,10,0.7,0.6,0.5,1.0,10.0,3,0.3333333333333333,0.3553345272593507
49,20,4319,2160,10.290409143330445,0.8646473529334395,2.313127736797832,0.046999177343417,-0.3871227548885398,12.372127033560364,0.1377548482020073,700,0.02,6,0.7,0.8,0.5,0.5,0.0,2,0.6666666666666666,0.7454545454545454
29,20,4320,2160,11.617649440941983,-4.02224360640524e-06,11.157390883233813,0.1309812475555978,-0.8992498488894412,15.147469892501832,0.1727733511108356,100,0.02,10,0.7,0.8,0.0,1.0,10.0,3,0.0,0.0
19,20,4320,2160,12.333001752871052,0.1142654812379898,11.389135721171344,0.1360176781367526,-0.7705609004410339,15.625413198647678,0.1781034426523619,700,0.3,10,0.7,0.8,0.0,1.0,10.0,2,0.6666666666666666,0.2842676218074806
10,20,4320,2160,10.036645910894428,0.7557095755620605,3.4192354329656465,0.0632564088804231,-0.5351988962370335,14.679440935364475,0.1660148467417113,350,0.02,6,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.3333333333333332
51,20,4320,2160,10.23043851322598,0.2760814837617137,8.58216497880441,0.1081497688011426,-0.4689657060023608,15.87584481186337,0.1816804777504505,350,0.3,10,0.9,0.6,0.0,0.5,10.0,1,0.6666666666666666,0.3106129346690164
34,20,4320,2160,11.311789894722123,-7.334363163469249e-07,10.82494787922612,0.1316979424406868,-0.6588637593941258,17.414117912716335,0.2017881538061768,100,0.02,6,0.7,0.8,0.5,1.0,10.0,1,0.0,0.0
